id,version,id_code,name,group_code,group_label,tier,phase,likely_phase,phase_rationale,key_figures,primary_source,one_line_pitch,description,connects_to_raw,connects_to_ids,master_table_connections,discipline_phase,discipline_name,source_file,source_date
v5-cybernetics-and-control-theory,v5,2,Cybernetics & Control Theory,T1,Tier 1: Core Bridges (Start Here),T1,1,,"Formalizes what systems thinking introduces. Adds regulation, goal-seeking, and self-organization. The intellectual ancestor of half the list.",Wiener|Ashby|Beer|Pontryagin,,,"The intellectual ancestor of systems thinking. Directly links Fuller's anticipatory design, distributed systems (feedback loops), economics (regulation), genetic algorithms (adaptive systems), multi-agent behavior, and autonomous research agents. Stafford Beer's Viable System Model mirrors microservices architecture. The study of regulation, goal-seeking, and self-organization across machines, organisms, and organizations.",Systems thinking|information theory|complex systems|economics|AI|biology|organizational design|artificial life,v5-systems-thinking-and-system-dynamics|v5-information-theory|v5-complex-systems-and-chaos-theory||v5-machine-learning-and-statistical-learning-theory|||v5-artificial-life-and-self-organization,"Systems thinking, info theory, complex systems, AI, biology",1,The Meta-Frameworks,research-topics-v5.md,2026-03-29
v5-information-theory,v5,3,Information Theory,T1,Tier 1: Core Bridges (Start Here),T1,1,,"The quantitative backbone. Once you have feedback (cybernetics) and flows (systems), Shannon gives you the formal measure of signal, noise, and surprise.",Shannon|Kolmogorov|Chaitin,,,"The formal backbone linking crypto (entropy, randomness), computation (algorithmic information), music (information content of signals), signal processing (channel capacity), NLP (compression=understanding), and probability. Makes explicit the vault's implicit themes of signal vs. noise, compression, coding, and the thermodynamics of information.",Cybernetics|complex systems|DSP|quantum computing|statistical mechanics|linguistics|machine learning,v5-cybernetics-and-control-theory|v5-complex-systems-and-chaos-theory||v5-quantum-computing-and-quantum-information||v5-linguistics-and-natural-language-structure|v5-machine-learning-and-statistical-learning-theory,"Cybernetics, complex systems, DSP, quantum, ML",1,The Meta-Frameworks,research-topics-v5.md,2026-03-29
v5-complex-systems-and-chaos-theory,v5,6,Complex Systems & Chaos Theory,T1,Tier 1: Core Bridges (Start Here),T1,2,,"Emergence, attractors, phase transitions, power laws. Builds directly on cybernetics and information theory.",Lorenz|Mandelbrot|Prigogine|Santa Fe Institute,,,"Unifies Wolfram's cellular automata, evolution, economics (nonlinear markets), agent-based modeling, and emergence. Covers strange attractors, phase transitions, self-organized criticality, path dependence, and power laws — patterns that recur across weather, markets, ecosystems, and neural networks.",Network science|cybernetics|information theory|game theory|statistical mechanics|artificial life|morphogenesis,v5-network-science-and-graph-theory|v5-cybernetics-and-control-theory|v5-information-theory|v5-game-theory-and-mechanism-design||v5-artificial-life-and-self-organization|v5-morphogenesis-and-biological-pattern-formation,"Networks, cybernetics, info theory, game theory, ALife",2,Structure & Connection,research-topics-v5.md,2026-03-29
v5-network-science-and-graph-theory,v5,7,Network Science & Graph Theory,T1,Tier 1: Core Bridges (Start Here),T1,2,,"The mathematics of connection. Once you see emergence (complex systems), networks show you the *topology* through which emergence propagates.",Euler|Barabási|Watts|Newman,,,"The mathematics of connection underlying crypto (P2P topology), distributed systems, information retrieval (PageRank), knowledge graphs, evolution (phylogenetics), and social coordination. Scale-free networks, small-world phenomena, centrality, community detection, and cascading failure.",Complex systems|operations research|epidemiology|cryptography|sociology,v5-complex-systems-and-chaos-theory|v5-operations-research-and-optimization|||,"Complex systems, OR, crypto, sociology",2,Structure & Connection,research-topics-v5.md,2026-03-29
v5-dynamical-systems-and-bifurcation-theory,v5,8,Dynamical Systems & Bifurcation Theory,T1,Tier 1: Core Bridges (Start Here),T1,2,,"The deeper math beneath chaos and complexity. Phase space, stability, bifurcation. Best absorbed after the intuitive exposure from Phase 1 and complex systems.",Poincaré|Smale|Strogatz|Arnold|Takens,,,"The mathematics of change over time: attractors, stability, phase space, bifurcations, oscillation, and nonlinear dynamics. Complex systems and chaos already appear in the vault, but this topic provides the deeper mathematical backbone beneath them. It clarifies how systems shift regime, how patterns persist, and how form unfolds through time in physics, biology, cognition, and control.",Complex systems|chaos theory|cybernetics|control theory|morphogenesis|robotics|neuroscience|mathematical physics,v5-complex-systems-and-chaos-theory|v5-complex-systems-and-chaos-theory|v5-cybernetics-and-control-theory|v5-cybernetics-and-control-theory|v5-morphogenesis-and-biological-pattern-formation|v5-robotics-and-embodied-intelligence|v5-neuroscience-and-neural-computation|v5-mathematical-physics-and-symmetry,"Complex systems, cybernetics, morphogenesis, neuro",2,Structure & Connection,research-topics-v5.md,2026-03-29
v5-systems-thinking-and-system-dynamics,v5,1,Systems Thinking & System Dynamics,T1,Tier 1: Core Bridges (Start Here),T1,1,,"Most accessible entry point. Stocks, flows, feedback loops, leverage points — a thinking style that applies everywhere. Low math barrier, high return.",Forrester|Meadows|Senge|Sterman,,,"Stock-and-flow modeling, feedback loops, leverage points, and the art of seeing systems. The practical counterpart to cybernetics. Useful for macroeconomics, organizational design, population dynamics, and infrastructure.",Cybernetics|operations research|economics|complexity science,v5-cybernetics-and-control-theory|v5-operations-research-and-optimization||,"Cybernetics, OR, economics, complexity",1,The Meta-Frameworks,research-topics-v5.md,2026-03-29
v5-causal-inference-and-causal-models,v5,41,Causal Inference & Causal Models,T1,Tier 1: Core Bridges (Start Here),T1,8,,"Pearl's DAGs, interventions, counterfactuals. The formal study of *what actually changes what.* Placed here (rather than earlier) because it benefits enormously from prior probability, epistemology, and ML context.",Pearl|Rubin|Spirtes|Cartwright|Hernán,,,"The formal study of cause rather than correlation. DAGs, interventions, counterfactuals, identifiability, confounding, and causal discovery. This topic fills a major gap between machine learning, philosophy of science, epistemology, decision theory, and policy reasoning. If probability tells us how beliefs update and machine learning tells us how patterns are learned, causal inference tells us what actually changes what.",Machine learning|statistics|epistemology|decision theory|philosophy of science|economics|neuroscience|AI,v5-machine-learning-and-statistical-learning-theory|v7-statistics-classical-and-modern|v5-epistemology-and-philosophy-of-knowledge|v5-decision-theory-and-rationality|v5-history-and-philosophy-of-science||v5-neuroscience-and-neural-computation|v5-machine-learning-and-statistical-learning-theory,"ML, statistics, epistemology, decision theory, econ",8,Quantitative Reasoning & Decision,research-topics-v5.md,2026-03-29
v5-category-theory-and-abstract-algebra,v5,9,Category Theory & Abstract Algebra,T1,Tier 1: Core Bridges (Start Here),T1,2,,"The ""math of math."" Functors, morphisms, structure-preserving maps. Demanding, but this is the phase where formal abstraction is the theme — and it pays compound interest later in logic, computation, and physics.",Eilenberg|Mac Lane|Lawvere,,,"The ""mathematics of mathematics"" — morphisms, functors, and structure-preserving transformation. Unifies computation theory, programming language design, crypto (algebraic structures in ZK proofs), and Alexander's pattern language (categorical thinking applied to design). High synthesis value for understanding abstraction itself.",Logic|type theory|topology|philosophy of mathematics|software architecture|mathematical physics,v5-logic-formal-semantics-and-model-theory|v6-type-theory-and-homotopy-type-theory||v5-philosophy-of-mathematics||v5-mathematical-physics-and-symmetry,"Logic, type theory, topology, software arch, math physics",2,Structure & Connection,research-topics-v5.md,2026-03-29
v5-cognitive-science-and-perception,v5,11,Cognitive Science & Perception,T1,Tier 1: Core Bridges (Start Here),T1,3,,"The science of how minds work — from Gestalt principles to predictive processing. Foundation for everything in design, HCI, aesthetics, and AI.",Marr|Kahneman|Tversky|Hawkins,,,"The science behind subjective experience. Explains why film cuts work, why musical tension resolves, how interfaces guide attention, and why spatial design affects cognition. Bridges behavioral economics, AI, phenomenology, and the creative domains. From Gestalt principles to predictive processing.",Neuroscience|psychology|AI|phenomenology|HCI|design|psychoacoustics|aesthetics|game design,v5-neuroscience-and-neural-computation||v5-machine-learning-and-statistical-learning-theory|v5-phenomenology-and-embodied-experience|v5-human-computer-interaction-and-interface-design|||v5-aesthetics-and-philosophy-of-art|v5-game-design-ludology-and-interactive-systems,"Neuro, psychology, AI, phenomenology, HCI, design",3,Mind & Perception,research-topics-v5.md,2026-03-29
v5-distributed-cognition-and-the-extended-mind,v5,14,Distributed Cognition & The Extended Mind,T1,Tier 1: Core Bridges (Start Here),T1,3,,"Thinking isn't confined to the skull. Tools, notebooks, dashboards, software, and social systems as cognitive infrastructure. Bridges mind to design.",Hutchins|Clark|Chalmers|Suchman|Norman,,,"The idea that thinking is not confined to the brain but distributed across bodies, tools, symbols, interfaces, and social systems. Explains why notebooks, maps, dashboards, notation systems, software environments, and collaborative workflows function as parts of cognition rather than mere supports. A strong bridge topic linking HCI, cognitive science, anthropology, symbolic systems, organizational design, and AI agents.",Cognitive science|HCI|anthropology|writing systems|semiotics|organizational design|AI agents|epistemology,v5-cognitive-science-and-perception|v5-human-computer-interaction-and-interface-design|v5-anthropology-cultural-evolution-and-technology-studies|v5-writing-systems-notation-and-symbolic-representation|v5-semiotics-structuralism-and-the-science-of-signs||v5-machine-learning-and-statistical-learning-theory|v5-epistemology-and-philosophy-of-knowledge,"Cogsci, HCI, anthropology, semiotics, AI agents",3,Mind & Perception,research-topics-v5.md,2026-03-29
